gene1	gene	score
DARS	HSPA8	0.15
FARSA	UBD	0.15
FARSA	A2M	0.15
FARSA	APOE	0.15
FARSA	ESR1	0.15
FARSA	CFTR	0.15
FARSA	SUMO3	0.15
FARSA	ECSIT	0.15
FARSA	RNF32	0.15
FARSA	UNC93B1	0.15
FARSB	PSMC3	0.15
FARSB	EIF2AK2	0.15
FARSB	CDK9	0.15
FARSB	PSMD4	0.15
FARSB	PSMD2	0.15
HARS	PSMD2	0.15
HARS	UBD	0.15
HARS2	PSMD2	0.15
HARS2	FUS	0.15
NARS	CLUH	0.15
NARS	HSPA4L	0.15
NARS	EEF2	0.15
NARS	ATP6V1B1	0.15
NARS	ATP6V1B2	0.15
NARS	CAD	0.15
NARS	PSMC2	0.15
NARS	CCT4	0.15
NARS	EIF3I	0.15
NARS	HSPH1	0.15
NARS	GMPPB	0.15
QARS	CNBP	0.15
QARS	ZCCHC13	0.15
YARS	PSMD4	0.15
YARS	PSMD2	0.15
YARS	ESR1	0.15
YARS	PSMC3	0.15
RARS	CBFB	0.15
RARS	NEDD8	0.15
RARS	FBXO6	0.15
RARS	UBD	0.15
RARS2	HSPA1B	0.15
RARS2	HSPA8	0.15
RARS2	HSPA6	0.15
RARS2	PSMC3	0.15
RARS2	HSPA2	0.15
RARS2	PSMD4	0.15
RARS2	PSMD2	0.15
IARS	NPEPPS	0.15
IARS	CNBP	0.15
IARS	ACACA	0.15
IARS	NEDD8	0.15
IARS	DNAJA4	0.15
IARS	ZCCHC13	0.15
IARS	HSPH1	0.15
IARS	RUVBL2	0.15
IARS	DNAJA2	0.15
IARS	HSPA4L	0.15
IARS	BAG2	0.15
IARS	HSP90AA1	0.15
IARS	HSP90AB1	0.15
IARS	ATP6V1B1	0.15
IARS	ATP6V1B2	0.15
IARS	DNAJA1	0.15
VARS	HSPA1L	0.15
VARS	TAF6	0.15
VARS	KAT2B	0.15
VARS	OLA1	0.15
VARS	TADA2A	0.15
LARS	GMPPB	0.15
LARS	GFPT2	0.15
LARS	HSPA1A	0.15
LARS	ATP6V1B1	0.15
LARS	ATP6V1B2	0.15
LARS	CAD	0.15
LARS	CNBP	0.15
LARS	TUBA1B	0.15
LARS	TUBA4A	0.15
LARS	GFPT1	0.15
